,Season,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG%,3P%,FT%,MP.1,PTS.1,TRB.1,AST.1,WS,WS/48,BPM,VORP,PIE,NET_RATING,DEF_RATING,OFF_RATING
1898.0,1999,17,ATL,Cal Bowdler,Old Dominion,3.0,142.0,1383.0,424.0,272.0,29.0,0.404,0.182,0.768,9.7,3.0,1.9,0.2,1.8,0.061,-3.2,-0.4,0.0637887323943662,-1.645070422535211,101.45774647887323,99.84929577464787
1899.0,1999,18,DEN,James Posey,Xavier,12.0,864.0,23260.0,7419.0,4061.0,1413.0,0.41,0.349,0.82,26.9,8.6,4.7,1.6,51.6,0.107,0.3,13.7,0.08657291666666668,0.10196759259259268,102.42523148148149,102.53148148148148
1900.0,1999,19,UTA,Quincy Lewis,Minnesota,4.0,159.0,1853.0,567.0,210.0,96.0,0.397,0.333,0.71,11.7,3.6,1.3,0.6,0.8,0.02,-4.9,-1.4,0.019735849056603774,-2.942767295597484,97.0754716981132,94.13270440251571
1901.0,1999,20,ATL,Dion Glover,Georgia Tech,6.0,294.0,6132.0,2407.0,897.0,455.0,0.411,0.317,0.756,20.9,8.2,3.1,1.5,5.8,0.045,-1.8,0.3,0.08147278911564626,-4.60374149659864,102.25340136054422,97.63095238095238
1902.0,1999,21,GSW,Jeff Foster,Texas State University,13.0,764.0,15750.0,3747.0,5248.0,703.0,0.497,0.13,0.615,20.6,4.9,6.9,0.9,47.5,0.145,-0.4,6.3,0.09805104712041884,2.8221204188481672,98.99149214659685,101.80287958115183
1903.0,1999,22,HOU,Kenny Thomas,New Mexico,11.0,632.0,17306.0,5876.0,4341.0,975.0,0.465,0.244,0.699,27.4,9.3,6.9,1.5,31.2,0.086,-1.3,3.1,0.09195727848101266,-1.5547468354430378,103.64066455696202,102.10917721518987
1904.0,1999,23,LAL,Devean George,Augsburg College,11.0,630.0,11682.0,3536.0,1975.0,543.0,0.392,0.343,0.721,18.5,5.6,3.1,0.9,18.2,0.075,-1.5,1.4,0.06284920634920635,1.697777777777778,101.02444444444446,102.72984126984127
1905.0,1999,24,UTA,Andrei Kirilenko,,13.0,797.0,23916.0,9431.0,4352.0,2169.0,0.474,0.31,0.754,30.0,11.8,5.5,2.7,75.4,0.151,4.9,41.7,0.12540025094102886,2.8567126725219576,102.88268506900879,105.7163111668758
1906.0,1999,25,MIA,Tim James,Miami (FL),3.0,43.0,261.0,68.0,46.0,11.0,0.329,0.333,0.652,6.1,1.6,1.1,0.3,,-0.003,-7.0,-0.3,0.01616279069767442,-1.9093023255813952,95.31627906976743,93.40697674418605
1907.0,1999,26,IND,Vonteego Cummings,Pitt,3.0,199.0,3789.0,1381.0,373.0,534.0,0.383,0.321,0.726,19.0,6.9,1.9,2.7,2.2,0.028,-2.4,-0.3,0.07366834170854271,-10.145226130653267,104.29447236180904,94.14924623115579
1908.0,1999,27,ATL,Jumaine Jones,Georgia,8.0,471.0,9780.0,3325.0,1987.0,408.0,0.424,0.349,0.704,20.8,7.1,4.2,0.9,15.1,0.074,-1.2,2.1,0.08150530785562632,-3.8025477707006368,102.80169851380042,98.96942675159237
1909.0,1999,28,UTA,Scott Padgett,Kentucky,8.0,448.0,5613.0,1874.0,1227.0,325.0,0.41,0.373,0.736,12.5,4.2,2.7,0.7,13.2,0.113,-0.4,2.3,0.08687500000000001,1.910267857142857,97.20089285714286,99.11205357142856
1910.0,1999,29,SAS,Leon Smith,,2.0,15.0,104.0,33.0,33.0,3.0,0.393,,0.647,6.9,2.2,2.2,0.2,0.2,0.112,-2.9,,0.09513333333333333,4.613333333333333,93.52,98.22666666666666
1911.0,1999,30,LAL,John Celestand,Villanova,1.0,16.0,185.0,37.0,11.0,20.0,0.333,0.222,0.833,11.6,2.3,0.7,1.3,-0.1,-0.038,-7.6,-0.3,0.01,-3.9,97.9,94.0
,1999,31,LAC,Rico Hill,Illinois State,,,,,,,,,,,,,,,,,,,,,
1913.0,1999,32,CHI,Michael Ruffin,Tulsa,9.0,414.0,5966.0,716.0,1632.0,250.0,0.407,,0.459,14.4,1.7,3.9,0.6,6.8,0.055,-3.3,-2.0,0.03915700483091787,-5.081884057971014,102.74420289855074,97.656038647343
1914.0,1999,33,DEN,Chris Herren,Fresno State,2.0,70.0,1005.0,224.0,73.0,167.0,0.336,0.328,0.692,14.4,3.2,1.0,2.4,0.5,0.025,-4.5,-0.6,0.05121428571428571,-3.5,102.39285714285714,98.89285714285714
1915.0,1999,34,NJN,Evan Eschmeyer,Northwestern,4.0,153.0,2138.0,421.0,601.0,76.0,0.463,,0.621,14.0,2.8,3.9,0.5,4.0,0.09,-3.0,-0.5,0.05079738562091503,0.09084967320261424,98.84575163398692,98.97712418300654
1916.0,1999,35,WAS,Calvin Booth,Penn State,10.0,366.0,4477.0,1190.0,1010.0,151.0,0.451,0.222,0.748,12.2,3.3,2.8,0.4,8.0,0.086,-1.8,0.3,0.062461748633879786,-2.2013661202185792,101.64945355191259,99.45710382513661
1917.0,1999,36,DAL,Wang Zhizhi,,5.0,137.0,1256.0,604.0,231.0,39.0,0.417,0.385,0.735,9.2,4.4,1.7,0.3,2.1,0.078,-1.6,0.1,0.08122627737226278,-0.6182481751824819,102.22919708029197,101.60802919708028
1918.0,1999,37,VAN,Obinna Ekezie,Maryland,4.0,144.0,1516.0,510.0,383.0,31.0,0.423,,0.72,10.6,3.6,2.7,0.2,1.7,0.054,-5.4,-1.3,0.05971527777777778,-4.106249999999999,102.66041666666668,98.63402777777777
1919.0,1999,38,ORL,Laron Profit,Maryland,4.0,135.0,1537.0,441.0,209.0,166.0,0.419,0.236,0.712,11.4,3.3,1.5,1.2,0.7,0.021,-2.1,,0.06966666666666667,-4.348148148148148,101.82666666666667,97.4525925925926
1920.0,1999,39,CLE,A.J. Bramlett,Arizona,1.0,8.0,61.0,8.0,22.0,,0.19,,,7.6,1.0,2.8,,-0.2,-0.129,-15.9,-0.2,-0.047,-30.7,113.1,82.5
1921.0,1999,40,DAL,Gordan Giriček,,6.0,384.0,8824.0,3670.0,941.0,584.0,0.442,0.368,0.823,23.0,9.6,2.5,1.5,8.0,0.044,-2.5,-1.1,0.08109895833333335,-0.5229166666666666,103.16432291666668,102.65104166666667
1922.0,1999,41,DEN,Francisco Elson,California,9.0,472.0,7207.0,1726.0,1638.0,260.0,0.478,0.188,0.7,15.3,3.7,3.5,0.6,11.7,0.078,-2.7,-1.3,0.06308474576271186,-0.756779661016949,100.80317796610169,100.05699152542371
,1999,42,MIN,Louis Bullock,Michigan,,,,,,,,,,,,,,,,,,,,,
1924.0,1999,43,CHH,Lee Nailon,TCU,6.0,306.0,5820.0,2622.0,936.0,298.0,0.474,0.111,0.786,19.0,8.6,3.1,1.0,8.0,0.066,-2.0,,0.08722549019607843,-4.669934640522876,102.78039215686276,98.11045751633986
,1999,44,HOU,Tyrone Washington,Mississippi State,,,,,,,,,,,,,,,,,,,,,
1926.0,1999,45,SAC,Ryan Robertson,Kansas,1.0,1.0,25.0,5.0,,,0.333,,1.0,25.0,5.0,,,,-0.022,-5.4,,0.02,-26.7,100.0,73.3
,1999,46,NYK,J.R. Koch,Iowa,,,,,,,,,,,,,,,,,,,,,
1928.0,1999,47,PHI,Todd MacCulloch,Washington,4.0,223.0,3439.0,1369.0,888.0,121.0,0.541,,0.642,15.4,6.1,4.0,0.5,11.9,0.166,0.3,2.0,0.09846636771300447,1.7928251121076233,97.7085201793722,99.47309417040358
,1999,48,MIL,Galen Young,UNC Charlotte,,,,,,,,,,,,,,,,,,,,,
1930.0,1999,49,CHI,Lari Ketner,UMass,2.0,25.0,139.0,34.0,34.0,2.0,0.406,,0.667,5.6,1.4,1.4,0.1,,-0.015,-7.4,-0.2,0.033479999999999996,-22.384,105.09199999999998,82.708
,1999,50,HOU,Venson Hamilton,Nebraska,,,,,,,,,,,,,,,,,,,,,
,1999,51,VAN,Antwain Smith,Saint Paul's College,,,,,,,,,,,,,,,,,,,,,
